"Title","Views","Likes"
"【ライブ】最新ニュース：ウクライナ侵攻から半年ロシア軍ミサイル攻撃の可能性プーチン氏に近い思想家の娘 爆発死サルvs山羊渋谷ホテルで火災母娘刺傷続報 など（日テレnewslive）",62189,257
"අද දෙරණ 655 ප්‍රධාන පුවත් විකාශය 20220824 ada derana prime time news bulletin",60835,612
"najib ke penjara mahkamah persekutuan kekal sabitan",288722,2385
"deadly car bomb detonates outside moscow",808787,6379
"jail najib federal court upholds expm’s conviction",127803,1009
"potential mass shooting foiled washington state",533947,5630
"🔴 හිරු රාත්‍රී 655 ප්‍රධාන ප්‍රවෘත්ති ප්‍රකාශය hiru tv news 655 pm live 20220824",56683,686
"nightly news full broadcast aug 18",796750,7277
"morning news now full broadcast aug 19",159877,695
"ukraine39s crimean fightback 39psychological impact39 russia bbc news",1465011,15854
"dobol b tv livestream august 22 2022 replay",187892,1030
"🔴 live 8 ප්‍රධාන ප්‍රවෘත්ති විකාශය 20220824",17763,198
"nightly news full broadcast aug 17",932432,7342
" news कहा गायब हो गया abbas ansari 7 राज्यों में पुलिस की आधा दर्जन टीमें कर रही तलाश",23135,286
"daughter russian ultranationalist killed suspected car bomb attack",164119,2083
"18 million flood alerts nationwide",212973,1728
"🔴 live 12 ප්‍රධාන ප්‍රවෘත්ති විකාශය 20220824",13976,180
"inside war ukraine 6 months since russia invaded",106690,1102
"t raja singh news t raja singh को जमानत मिली टी राजा ने दिया था विवादित बयान latest news",89985,1688
" netflix now making video games",176151,8384
"roblox athletes tycoon",133933,4163
"naik wahana roller coaster runner coaster",99244,2925
" opened arcade shop",3773387,298406
"vod 7 du sang et des crânes campagne légendaire valkia sur immortal empire",16307,549
" fortnite dragon ball z quests kcity gaming",126228,2170
"tonnenweise ganz neue games monkey island 5 release uvm opening night live gamescom 2022",46436,1365
"free fire bất ngờ nhận free 900 kim cương mua đồ cực ngon garena hứa sẽ sửa vòng quay ma thuật",121644,3516
"10 infuriating ways video games stopped getting 100",67444,2481
"farming simulator 22 13 khi xe bán tải chở quá tải ",84565,2501
"secret hidden oven entrance epic gaming fort",2007038,82449
"🔥artistic music mix 2022 top 50 songs ♫ best ncs gaming music ♫ best edm remixes 2022",5967,1243
"free fire got level 1 ghost id 😨 9999 badges😍 wasting 10000 diamonds 💎garena free fire",552256,48710
"gaming future",205943,29966
" destiny challenge fortnite",530763,15842
"7 reasons gaming industry broken",82874,3374
"gta 5 can chop complete insane impossible stunt race",191777,8260
"🎧 follow loco achanak bayanak gaming",14877,1525
"finally improved lenovo ideapad gaming 3 2022 i5 12th gen rtx 3050",10351,468
" stream 3 days kya aaj 35 kills honge godl lolzzz bgmi live",228095,18208
"🔴short stream 😱 bgmi live",19693,3171
"gta 5 online ramp buggy vs draugur best road vehicle",27564,1204
"mylta power station long drive amp night food party vlog ron gaming vlogs",66633,10556
"asmr gaming 😴 fortnite tryhard squad win relaxing gum chewing 🎮🎧 controller sounds 💤",22860,869
"15 graphically mindblowing games 2022",879645,13492
"rp ගේ පේජ් එකට මොකද උනේ 😥 අලුත් පේජ් එක rp gaming",2386,358
" first 42inch oled gaming monitor pg42uq",65005,2677
"gaming memes true gamers understand 84 memes shorts",246407,39872
"اصعب لعبة جوال تخليك تعصب ضحك وتحشيش",268946,46642
"top 5 best gaming phone 15000 rs pubg amp bgmi gaming phone 15k pubg amp bgmi",5931,674
"si squidward si dream nandito sa roblox backroom morphs",226258,3495
"new ps4 amp ps5 games week",19223,789
"gta 5 kidnapped trevor gta 5 bangla gameplay 77 gaming fun tips",31837,3273
" caught karl haunted car long drive mods",97946,4484
" budget gaming laptop can’t beat",70186,2700
"playstation 5 review next gen gaming",7132206,238193
" story super mario world gaming historian",2381931,71905
"pesa ho kia kuch nahi ho sakta gta 5 shadow gaming",87891,9574
"roblox bất ngờ khi game naruto có sức mạnh trái ác quỷ hito model nika của luffy shindo life",64958,1215
"rich gamer vs broke gamer",364725,11797
"music mix 2022 🎧 edm remixes popular songs 🎧 edm gaming music mix ​",208701,2750
"asmr gaming 😴 fortnite 1 kill 1 trigger relaxing mouth sounds 🎮🎧 controller sounds whispering 💤",14537,563
"1000 iq moments sports",5093587,39944
"chelsea v tottenham hotspur premier league highlights 8142022 nbc sports",1335282,19987
"beach bunny sports official audio",15040548,275577
"team usa shocks jamaica women39s 4x100 world title nbc sports",4288833,62969
"craziest quotyou see believe itquot moments sports history",1945140,12785
" sports baseball battle dude perfect",57369066,778342
"impossible moments sports",12272628,56480
"manchester united v liverpool premier league highlights 8222022 nbc sports",1499121,23668
"top 100 sports plays decade 2010 2019 best moments",16099483,102369
"craziest quotkarmarevengequot moments sports history",12867358,60821
" sports golf battle masters",11181957,355223
"bournemouth v arsenal premier league highlights 8202022 nbc sports",619006,7866
"high iq moments sports",10909239,84728
"liverpool v crystal palace premier league highlights 8152022 nbc sports",665643,6920
"impossible sports moments",2020370,22479
"best boxing 2021 full episode showtime sports",592998,6568
"craziest quot1 trillionquot moments sports history",20647398,127971
"newcastle united v manchester city premier league highlights 8212022 nbc sports",961317,11805
" sports trick shots dude perfect",27922929,601464
"greatest world records sport history",31518906,241605
"kentucky derby 2022 full race nbc sports",5683239,39999
"20 times sports fans took way far",7795119,33316
"craziest quotdeadly fallquot moments sports history",1836457,14899
"top 100 best sports bloopers 2020",9444655,25347
"leeds united v chelsea premier league highlights 8212022 nbc sports",901368,11898
"reactions manchester united take liverpool premier league nbc sports",106597,1096
"tottenham hotspur v wolves premier league highlights 8202022 nbc sports",573655,6325
" sports golf battle 2 dude perfect",106014469,867074
"manchester city v bournemouth premier league highlights 8132022 nbc sports",647117,6946
" controversial player sports",4282206,51562
"1 trillion moments sports",6134948,31796
"biggest winners amp losers friday39s nfl preseason slate cbs sports hq",2219,46
"viagra boys sports official video",4820297,149084
"manchester united v liverpool live postgame qampa premier league nbc sports",27378,191
"canadian ultimate championships juniors open final ultimate frisbee cbc sports",4114,38
"nintendo switch sports overview trailer nintendo switch",1194578,32772
"funniest sports moments year 2021 crazy fan moments epic fails amp blunders",1051751,2584
" nfl experience kai nacua tyler allgeier byu sports nation full episode 82322",867,15
"craziest quotthinking outside boxquot moments sports history",15110047,132236
"caicedo pulisic casemiro manchester united interested signing ✍️🔴",269716,3991
"west ham united v brighton premier league highlights 8212022 nbc sports",230945,2192
"quotthey can play football…sorryquot😅 erik ten hag reacts first manchester united win",2699810,54006
"quotwe done baby 🇬🇧🇯🇲🏆 epic postfight scenes leon edwards becomes ufc welterweight champion",577426,14293
"reactions arsenal cruise past bournemouth premier league nbc sports",65057,1121
"sports car giant test 2022 – ferrari vs porsche vs mclaren amp car magazine 4k",83228,1941
" embarrassing moments sports funniest moments sports history",4290144,15872
"fulham v brentford premier league highlights 8202022 nbc sports",203084,2807
"20 must see sports moments",11666184,22288
"arsenal v leicester city premier league highlights 8132022 nbc sports",891548,10119
" make mcdonald39s cheeseburger",2361410,135155
" beat smart fish cold skin",275924,14408
" get brain focus chris bailey tedxmanchester",13176819,315980
" make every sushi method mastery epicurious",1341953,44809
"common living room design mistakes fix ",443909,22532
"body language expert explains show confidence wired",8378324,295514
"former fbi agent explains read body language tradecraft wired",44943014,1165120
"alexa chung learns dress french way alexachung",5249373,136929
" write less say jim vandehei ted",58330,2048
" gain control free time laura vanderkam",7370713,169217
" deal difficult people jay johnson tedxlivoniacclibrary",3745331,56460
" raise successful kids without overparenting julie lythcotthaims ted",2947659,78076
" beat every death game quotdie nowquot",855958,28603
" fix water damaged laptop",52061447,910553
" levitate",3750968,49642
" brainwash success amp destroy negative thoughts dr joe dispenza",14322764,338470
" beat every 1000000000 death game quotzeroquot",1902823,46638
" you39re always tired fix ",1606273,80596
" survive drone swarm",15329,554
" first 20 hours learn anything josh kaufman tedxcsu",31858250,723998
" master 5 basic cooking skills gordon ramsay",36467409,665269
"how2 100 things saturday supercut",10097646,70465
" sell amazon beginner 15 minutes",10671,600
" start blog 2022 sophia lee",425850,32092
" effortlessly confident",13590001,347137
" build pc last guide you39ll ever need",4584546,150521
" stop overthinking",111581,6773
" actually get free robux roblox easy",11848,515
"cake rescue cake fail nailed cook ann reardon",513997,29551
"27 easy magic tricks",47276202,262633
" kill pennywise nowthis nerd",8620346,99816
"27 cleaning tips will save lots money",2144508,46254
" discover authentic self age bevy smith ted",698519,31042
"genius hacks occasion write faster smart parenting tiktok tricks 123 go",5578536,45027
" grow thumb",4382539,207617
" simplify life minimalist philosophy",153395,8227
"debunking fake cooking videos amp vaping lies cook ann reardon",742272,55233
" get hidden roblox faces 🤩",110066,2992
" incredible new way poach eggs never fails epicurious 101",76373,4852
" organise life building second brain",662992,26024
" become rainbow friends roblox",638770,12124
" learn anything anywhere elon musk",2943450,61089
"4 things we39ve forgotten make",1687552,62375
" make perfect stir fry every time 4 components stir fry can cook ",705942,21286
" work mrbeast",5992730,421608
" get quotdecimator shieldquot quotthe archonquot vanguard zombies",3311,63
" solve rubik39s cube wired",29905105,339758
"update get 5 new backrooms morphs backrooms morphs roblox",42948,866
"tiësto business official music video",208293677,1706185
"tiesto business official lyric video",54244089,385847
"tiësto business lyrics",9090985,79281
"tiësto business official audio",1820413,24029
"tiesto business 1 hour super unstoppable extended version",5750667,43643
" royal quinoa expensive expensive food business insider",533712,6028
"yung berg business ft casha",28325416,229141
" create weekly planner business canva beginners",6389,253
"business 101 everything need know business startup basics",1102647,25934
"don39t use domaincom watch video best domain registrar business",2270,114
"9 business ideas will big 2022",368017,13038
"19 yearold starts trucking business",188875,3232
"mark cuban 1 reason people fail business",2228510,46519
"twitter whistleblower slams company39s alleged security problems",45872,1483
" build business works brian tracy genius",676300,-1
"businesses never fail 7 businesses amazingly low failure rates backed data",1273223,27189
"6 businesses will never go market",580096,14477
"best online business start beginner 2022",859569,57308
"andrew tate announces new quotbusinessquot ban",26499,441
" metaverse fashion39s next goldmine business fashion show",561921,17327
"6 hilarious business ideas make 1000000 2022 351",14263,489
"ep 25 worlds biggest edtech channel khan sir bada bharat dr vivek bindra",2018720,216891
"7 profitable business ideas 2022",1218268,29443
"tiësto amp ty dolla ign business pt ii official lyric video",5351715,65748
"भविष्य में यही 10 बिजनेस चलेगा🚀 10 best future business ideas 2022 💥 top 10 business ideas future",15582,295
" start business nothing",875957,36376
" run profitable business amp make money",984168,52363
"elon musk millennials start business",2464907,49949
"behzad leito amp sijal ft sepehr khalse saman wilson sohrab mj amp alireza jj quotbusinessquot audio",520371,5015
"charlie sykes gop candidates transform politics ‘unserious business’",45006,1090
" started coffee business 1800",776034,13852
"gagnez 200000 fcfa par jour avec ce business en afrique",2786,134
"44 businesses can start 2022 recession",384275,22569
"paul pelosi dui dashcam footage released",37352,2063
"20 हजार रोज कमाकर देगी ये मशीन 🔥 new business ideas 2022 small business ideas new business ideas",23819,539
" covid transforming 380 billion luxury fashion industry business fashion show",589907,32152
" copper river king salmon expensive expensive food business insider",746236,13126
"ตลาดถุงมือยางทรุด ฉุดราคาร่วงลงทุนหด business watch 230865",12332,-1
"liger day 1 advance booking amp pre release business vijay deverakonda",42274,2667
"helping homeless woman starting online business 17 year old coaching livestream",82844,5006
" liquidating unwanted goods became 644 billion business",1851336,19993
"racist ai rapper gets bounced music business",11649,667
"lakeyah ft latto mind yo business official video",7989628,146358
" quit 21k day job start business now brings 500000",108903,3440
"tshepiso ramotsehoa life story business coaching government education youth women",4073,187
"small business tiktok compilation",1437698,22861
" use canva beginners full canva tutorial 2021",1435374,25630
"full face flawless indepth makeup tutorial nikkietutorials",6100867,158935
"microsoft excel tutorial beginners full course",4435209,74485
"apis beginners use api full course tutorial",3368446,80368
"mysql tutorial beginners full course",7367727,170234
"‘clean girl’ makeup tutorial amp hydrated skincare routine",879609,30518
"figma ui design tutorial get started just 24 minutes 2022",1632584,45040
" easy everyday fall makeup tutorial tips tricks amp techniques beginners",19323,1341
"worlds cleanest fade haircut tutorial",190491,5180
"java tutorial beginners",7569833,195700
"kubernetes tutorial beginners full course 4 hours",4984442,73498
"c tutorial beginners full course",9769103,235659
" need learn sql right now sql tutorial beginners",223700,10669
" design tutorial",151493,8433
"lightroom tutorial basics photo editing masterclass",1564431,63857
"python tutorial python full course beginners",28574258,838345
"learn python full course beginners tutorial",35771194,880208
"gordon ramsay39s perfect burger tutorial gma",68512549,981522
"html tutorial beginners html crash course",4416622,114246
"extra glam makeup tutorial",7549484,143191
"reacting people following wolf cut tutorial",5656681,216934
"179 minecraft build hacks",7783157,205557
"gordon ramsay39s top basic cooking skills ultimate cookery course full episode",7975584,132845
"31 tricks become minecraft building pro",1454316,74900
"30 easy diy projects beginners increase home value",7906241,76010
"clean girl go makeup tutorial christen dominique",679453,18780
" play 39interstellar39 🎹✨ cornfield chase complete piano tutorial",83902,4315
"tutorials went wrong part 2",925547,23977
"typescript tutorial beginners 2022",191830,4985
"facing worst fears makeup challenge nikkietutorials",870453,44083
"lisa rinna’s guide ageless skin signature plush lips beauty secrets vogue",1642556,63543
"sony a7r iii training tutorial",793228,12050
"drawing faces tutorial",1684678,101457
" get waves 5 step tutorial gq",622551,18184
"tutorial friday night funkin39 ost",3335591,47823
"fantastic beauty tutorial amazing hair dyeing techniques nail art ideas makeup trends",26355125,93094
"everyday summer makeup tutorial ",203851,12502
"hailey bieber39s date night skin care amp makeup routine beauty secrets vogue",3218250,121477
" get sturdy 2022 dance tutorial",1253037,41409
"learn juggle 3 balls beginner tutorial",1592794,29065
"25 features mojang keeps secret",2417577,97091
"euphoria’s alexa demie shares ’90s glam tutorial beauty secrets vogue",21485819,869059
"back school hair tutorial elementary middle high school",345071,10595
" moonwalk dance moves tutorial mihran kirakosian",11034311,190593
"20 minecraft block facts maybe didn39t know",1204024,57526
"speaking dutch makeup tutorial nikkietutorials",11745320,407460
"tutorials went wrong",5646817,186142
"tutorial 😍 u want see result xo team tiktok elsarca xoteam elsarca tiktok",7009241,375997
" minecraft tutorial world secret",7892369,702681
"musica tutorial completa fnf friday night funkin39",525488,8851
" best worst retail trading platforms finance professor",5110,113
"bajaj finance decade39s top wealth creator wonderful wednesday parimal ade amp aastha khurana",13991,954
"tech firms can39t hide behind advertising rules financial products says cfpb chief",2783,40
"housing ‘ might almost worst time buy’ columbia business school professor c",100366,765
"intel brookfield ink 30 billion financing deal chip factory expansion",7093,59
"student loan forgiveness 39loselose39 biden yahoo finance’s rick newman",1485,13
" ultrawealthy allocating assets survey",29751,346
"friday finance season 03 trailer web series hindustan times",83121,16
" european energy crisis winter coming",39296,1834
"white house press briefing",2597,44
"food prices gas housing financial content creator weighs ",3882,66
"recession fears canadians cutting spending worried debt levels financial planner reacts",6709,36
"ethereum merge ‘ huge milestone industry’ framework ventures cofounder says",7816,124
"1 introduction financial terms concepts",6224649,53635
"stocks moving hours nordstrom urban outfitters intuit toll brothers amc ape",2285,29
"william ackman everything need know finance investing hour big think",9450554,213398
"money finance crash course economics 11",1366364,17269
"stocks moving hours bed bath amp beyond apple tesla walmart target",7325,68
" real estate market sliding 39house recession39",12456,96
"us defense briefing aid ukraine 230pm est",1195,14
"mohamed elerian predicts fed moves housing market august 21 2013",32926,490
"39one man39s freebie another man39s social spending39 tamil nadu finance minister spin",255706,4590
"seven steps financial wellness arpit arora tedxchowringhee",3534,69
"chappelle39s show wutang financial ft rza gza uncensored",2797148,39868
"fed 39things break39 start quantitative tightening strategist says",8862,83
" eggs becoming expensive according vital farms ceo",4384,51
"tamil nadu finance min palanivel thiagarajan39s viral amp fiery retort modi govt freebies",890196,19621
"gravitas plus financial literacy need hour",1213867,37925
"india today miracle… miracle threat—tamil nadu finance minister p thiaga rajan",608005,24181
"10 personal finance lessons changed life",637152,29610
"finance experts prospect sir jim ratcliffe buying stake manchester united",93564,1692
"39a storm brewing steve forbes warns 39big financial crisis39 coming what39s ahead",118523,2236
"become master finance harvard professor mihir desai lewis howes",196484,4894
"finance influencer talks social media retail hacks know travel",2548,57
"ed hyman economy ok",29180,319
"introduction corporate finance free course",1344472,19352
" consideration charges upi services cleared finance ministrer nirmala ",22593,404
"personal finance save spend think rationally money big think",1257676,40534
"bjp slams tamil nadu finance minister palanivel thiagarajan questioning centre freebies",189066,1289
"bitcoin holderswhat guys ",46082,2713
" got sued",390348,34468
" real reason bitcoin will hit 500000 per coin 2030 clickbait",77109,5595
"attention bitcoin destroy new crypto investors wyckoff analysis",20600,1720
"atom cosmos prend son envol 🔥 dossier majeur des blockchains 💎 atom cosmos crypto ethereum",2201,230
"youtuber gets sued crypto millionaire",474368,27738
"china39s economic crash it39s coming amp means",192740,12829
"woahpay attention bitcoin crypto",57692,3405
"alert bitcoin breakout now … scary watch fast🚨",23786,1908
"top crypto experts ethereum merge dxy vs bitcoin",45779,3400
"rep boebert skips crypto reporting cutoff cutting emissions blockchain cnbc crypto world",6443,212
" next 72 hours make break bitcoin amp crypto analysis",21012,1700
"coinbase ceo brian armstrong managing crypto winter",7050,90
"bitcoin breakout 48 hours i39m shaking",9585,765
"major indicator flashes mean bitcoin",35571,2645
" will shock everyone",8502,827
" bitcoin crash almost just getting started crypto news today",7989,626
"get ready 25th27th august ",18216,2015
"one asset smash bitcoin can still invest",43235,3179
"48 hours crypto market quotknowsquot crucial time crypto",4247,431
"🚨 39 days europe’s economic death 🚨 russia gas crisis",25115,1992
"🔥5 crypto coins dca soon amp make f money urgent",15689,1450
"critical ethereum bug bitcoin struggles momentum",25316,1462
"crypto react economic collapse",30328,1324
" eyes twowhat will bitcoin markets",48051,2719
"takeoff rich kid crypto official video",6366422,182663
"friday quotmassivequot day crypto find ",6160,476
"raoul pal update time running amp crypto will recover untill happens",1616,66
"bitboy crypto sues atozy crazy crypto story",1599,105
"warren buffet hates bitcoin pmi affects crypto",23035,1493
" market extremely deadly without planhere39s mine",39409,3638
"🔥 top 5 crypto explosives que personne ne voit 👑 analyse bitcoin fr ⚡",7771,408
"binance just scored huge win crypto adoption afternoon brew",2742,257
" goodbut will effect bitcoin",52909,3091
"wave count favors crypto market bitcoin pause stock market elliott waves deep dive",30871,3916
"new crypto gameplay broken legend apex legends mobile",10554,357
"investor big short ini menjual 98 asetnya apa artinya untuk crypto⁉️",2546,92
"bitcoin 4 year low exchanges ftx 1000 amp voyager wants bonus",28047,2258
"mt gox bitcoin 10000 ",36410,2539
"don xhoni crypto prod rzon amp pllumb",11805668,95151
"worst housing crash just started life changing crypto deals incoming",46495,4303
"market drops 📉 nfts trouble 😱 fdic issues warnings ⚠ crypto week 🗓👀 cryptonews",31510,2379
"large bitcoin wallets buying know crypto news today",9099,757
"jerome powell crash market can move crypto new home buyers get ready",4723,310
"best indicators crypto day trading effective",8867,629
"🔴 urgent bitcoin shocking trend big profit crypto news today",7516,705
"urgent hold crypto watch now terra luna classic recovery",11448,1021
"bitcoin 4 year cycle prediction may change mind btc",27258,1606
"crypto news today bitcoin price prediction hindiurdu",5034,418
"attn bitcoin hodlers look ’s happening🚨warning 72 hrs maximum",25648,1987
" rubik’s cube impossible…",79265,2072
"rubik39s cubes level 1 level 100 what39s level",10963984,111085
" rubik39s cube collection 200 cubes",2570601,32280
" solve 3x3 rubik39s cube time easiest tutorial",49429306,511551
"2022 rubik39s cube collection fun fact edition",1669884,15064
" order 3000 rubik39s cubes",235294,23205
"2000 world39s biggest cube unboxing",380649,9760
"every rubik39s cube 1x1 19x19",58590655,2025653
" kid solves rubik39s cube 5 seconds",10608521,233724
"proof ’s 43252003274489856000 rubik39s cube combinations 🤯",156011,11069
"roshtein new amazing record win cubes 2",21114,275
"solving rubik’s cube sizes record time",1962673,46684
" 10 year old solved rubik39s cube",838788,11943
"whose cube best ⚔️ family cube battle",1782074,20909
"can open cube ft zhc",1847672,110517
"top 10 coolest rubik39s cube mods",2458686,36738
"huge 500 cube unboxing cubes get",900960,19054
"blue rubik’s cube 🔵",6329576,228332
"stickers vs stickerless rubik39s cubes",2372539,39281
"infinite cube glitch 🤔",16209382,867676
"18 puzzle massive unboxing 😵 puppets time machines",5281537,50788
"magic trick solve rubik39s cubeshorts",12964069,428683
" solve rubik’s cube easiest tutorial part 1",13278916,129552
"can solve rubik39s cubes made jelly 🍮",738726,9432
"trick solve rubik cube just 10 seconds",6170029,634419
"pov get shiny cube easter",6149318,79852
"rubik’s cubes vs now shorts",1134047,60991
"making largest rubik’s cube guinness world records",10106841,82390
"solving huge rubik39s cube 15x15 record time",39581966,636440
"evolution rubik39s cube 🔥📈 shorts",7308863,309903
"can spot fake rubik’s cube 🤔",23535618,837671
"best video solving rubik39s cube beginners guide",4795109,51599
"😱22 cube solved 1 second challengeshort cubetranding",4543326,205854
"😯triangle cube solving challenge short viralvideo cuber akcuber",2036446,94707
" impossible unsolve cube cube forced",5884330,308847
"rubik39s cube spinner moves shorts rubikscube",10125075,367266
"scrambled",50348575,752667
"insane win cubes 2 slot bonus buy",10146,150
" use cube stand… 🤦‍♂️",5533307,356355
"solve 3x3 rubik39s cube 😂",3074914,81516
" solve rubik39s cube 3x3 cube solve magic trick formula shorts",1574015,40407
" thé rubik39s cube purposefully made bad",1360604,23288
" metal ice cubes work",6742766,402045
"learn solve rubik39s cube 10 minutes beginner tutorial",38289391,461154
"ice cube good day",168546247,2307773
"secret rubik’s cube hiding spot 🤫 transforming cubes 😱",24994827,738796
"best magic show world genius rubik39s cube magician america39s got talent",94900199,954935
" rubik39s cube year 3000",457957,7004
"shark tank us lori gives golden ticket souper cubes",3157064,41945
"stockfish crushes stockfish",180651,11053
"chesscom makes offer play magnus group",36310,1411
"fide dunks magnus hate online chess",55539,1569
"chesscom buys play magnus awesome game",85191,2547
" 4 worst chess openings",170926,8907
"champions chess tour ftx crypto cup day 6 commentary david jovanka kaja amp simon",141306,1678
"elefante38 impressiona super gm",53211,8738
" brief history chess alex gendler",7571701,176829
" history chess reflection us",51885,2546
"new fps chess game mode",3068118,137884
" made better chess",1457290,77110
" learn amp study chess openings",2213038,77520
"best chess opening white 1e4 scotch gambit traps",21164,621
"endgame closure cm crevatin leo im yuri lapshun blitz chess",2471,52
"finals can fedoseev stop hansen’s undefeated finals run fischer random championship qual 1",40223,519
"champions chess tour ftx crypto cup day 1 commentary david jovanka kaja amp simon",103248,1521
"please stalemate ",38688,1643
"3 wins magnus carlsen",198004,9544
" play chess ultimate beginner guide",2615459,98001
"numbaa 7 chess exclusive halfpintfilmz",1469736,34514
"chesscom buying chess24 lichess hikaru vs magnus every week",4130,239
"champions chess tour ftx crypto cup day 6 commentary peter leko amp lawrence trent",74253,736
"champions chess tour ftx crypto cup day 7 commentary david jovanka kaja amp simon",193604,2765
"champions chess tour ftx crypto cup day 4 commentary david jovanka kaja amp simon",108383,1444
"champions chess tour ftx crypto cup day 7 commentary peter leko amp lawrence trent",78841,901
"ultimate showdown carlsen vs praggnanandhaa ftx crypto cup 2022",137405,4783
"chess trash talker says he39ll smoke bet 100",229865,5444
"7 common chess mistakes",1142057,46158
"9yearold boy defeats professional chess streamer",13844095,160983
"champions chess tour ftx crypto cup day 2 commentary david jovanka kaja amp simon",92760,1234
"bobby fischer crushes chilean chess champion 23 moves 1960",466494,7927
"150k line hikaru fabi nepo battle rapid chess championship finals day one",55105,814
"magnus smiling entire game alireza ftx crypto cup 2022",124442,4232
" shocked heard chess hustler39s rating",1020154,10670
"pragg beats super gm quot10 movesquot",254621,8534
"opening prep useless… vidit bok hansen fischer random ko qualifier one",47926,589
"human chess real life 32 real humans pieces win dié",5231674,136598
"champions chess tour ftx crypto cup day 3 commentary david jovanka kaja amp simon",100586,1314
"top 10 chess grandmaster crushed 10 moves",200847,9062
"using magnus carlsen cheat chess",2854238,90491
"punishing beginner mistakes ponziani opening",2853191,44471
"learn play chess today less 10 minutes",1094217,19895
" world’s best chess player go insane",3854528,143561
" trained like chess grandmaster",3128517,117286
"chess nutshell",5423172,219213
" assess chess position ultimate guide",601,58
" master alekhine",4951,383
"apple announces fall iphone event iphone 14 apple watch pro amp ",47811,915
"apple39s september 7th iphone 14 event everything leaked",42191,1294
"apple september 7 iphone 14 event announced 🥳 everything we39re getting",83807,4187
"iphone 14 event ruined first look everything iphone 14 pro apple watch s8 one thing",132072,7385
"iphone 14 apple event announced here39s we39ll get",108055,3586
"apple september 2022 event 8 things expect",255839,5638
" bringt das appleseptember2022event 4k apfeltalk",1954,184
"vì sao pin apple watch kém hơn nhiều các smartwatch khác rtos là gì",9401,282
"apple warns security vulnerability iphones ipads macs",31657,478
